Австрия,Вена
Азербайджан,Баку
Алжир,Алжир
Армения,Ереван
Ангола,Луанда
Аргентина,Буэнос-Айрес
Бангладеш,Дакка
Беларусь,Минск
Бельгия,Брюссель
Бенин,Порто-Ново
Ботсвана,Габороне
Бразилия,Бразилиа
Бурунди,Бужумбура
Буркина-Фасо,Уагадугу
Великобритания,Лондон
Венесуэла,Каракас
Вьетнам,Ханой
Габон,Либревиль
Гамбия,Банджул
Гана,Аккра
Гвинея,Конакри
Гвинея-Бисау,Бисау
Германия,Берлин
Греция,Афины
Дания,Копенгаген
Демократическая Республика Конго,Киншаса
Джибути,Джибути
Египет,Каир
Израиль,Иерусалим
Индия,Нью-Дели
Индонезия,Джакарта
Ирландия,Дублин
Испания,Мадрид
Италия,Рим
Йемен,Сана
Казахстан,Астана
Камерун,Яунде
Канада,Оттава
Катар,Доха
Кения,Найроби
Киргизия,Бишкек
Китай,Пекин
Колумбия,Богота
Коморы,Морони
Кот-д'Ивуар,Ямусукро
Куба,Гавана
Лесото,Масеру
Либерия,Монровия
Ливия,Триполи
Маврикий,Порт-Луи
Мавритания,Нуакшот
Мадагаскар,Антананариву
Малави,Лилонгве
Малайзия,Куала-Лумпур
Мали,Бамако
Мексика,Мехико
Молдавия,Кишинев
Мозамбик,Мапуту
Монако,Монако
Монголия,Улан-Батор
Марокко,Рабат
Намибия,Виндхук
Нигер,Ниамей
Нигерия,Абуджа
Нидерланды,Амстердам
Новая Зеландия,Веллингтон
Норвегия,Осло
ОАЭ,Абу-Даби
Пакистан,Исламабад
Польша,Варшава
Португалия,Лиссабон
Россия,Москва
Республика Кабо-Верде,Прая
Республика Конго,Браззавиль
Руанда,Кигали
Саудовская Аравия,Эр-Рияд
Свазиленд,Лобамба * Мбабане
Сейшельские Острова,Виктория
Сенегал,Дакар
Сингапур,Сингапур
Словакия,Братислава
США,Вашингтон
Таджикистан,Душанбе
Таиланд,Бангкок
Танзания,Додома * Дар-эс-Салам
Того,Ломе
Тунис,Тунис
Туркмения,Ашхабад
Турция,Анкара
Узбекистан,Ташкент
Уганда,Кампала
Украина,Киев
Филиппины,Манила
Финляндия,Хельсинки
Франция,Париж
Чад,Нджамена
Чехия,Прага
Чили,Сантьяго
Швейцария,Берн
Швеция,Стокгольм
Шри-Ланка,Коломбо
Южная Корея,Сеул
Южноафриканская Республика,Претория * Блумфонтейн * Кейптаун
Южный Судан,Джуба
Япония,Токио
