difficulty,topic,question,answer
easy,math,Сколько будет 2 + 2?,4
easy,math,Сколько будет 5 * 3?,15
easy,math,Сколько будет 10 - 7?,3
easy,math,Сколько будет 9 / 3?,3
easy,math,Сколько будет 6 + 6?,12
easy,science,Вода кипит при температуре?,100
easy,science,Какая планета третья от Солнца?,Земля
easy,science,Какое состояние воды называется газообразным?,Пар
easy,science,Сколько планет в Солнечной системе?,8
easy,science,Сколько ног у паука?,8
hard,math,Сколько будет 12 * 12?,144
hard,math,Чему равен квадратный корень из 169?,13
hard,math,Сколько будет 15 * 15?,225
hard,math,Чему равен квадратный корень из 225?,15
hard,math,Сколько будет 7 * 8?,56
hard,science,Как называется химический элемент с символом Au?,Золото
hard,science,Сколько хромосом у человека?,46
hard,science,Какая планета известна как Красная планета?,Марс
hard,science,Как называется процесс превращения жидкости в пар?,Испарение
hard,science,Как называется орган, отвечающий за кровообращение?,Сердце
